,Close,Open,Volume,Net Income,Stockholders Equity,Long Term Debt,Total Assets
2022-01-03,3646.82861328125,3542.1349688808314,65937900.0,,,,
2022-01-04,3638.104248046875,3646.8287186656926,42984700.0,,,,
2022-01-05,3533.410400390625,3620.655101634838,119584700.0,,,,
2022-01-06,3594.4814453125,3568.3080367301277,89197500.0,,,,
2022-01-07,3638.104248046875,3594.4818949527876,68415100.0,,,,
2022-01-10,3577.03271484375,3646.828475133384,44921200.0,,,,
2022-01-11,3568.30810546875,3594.481514555318,61890200.0,,,,
2022-01-12,3585.757080078125,3585.757080078125,45132700.0,,,,
2022-01-13,3646.82861328125,3638.1041429145484,84148400.0,,,,
2022-01-14,3655.552978515625,3611.9306279366797,28193100.0,,,,
2022-01-17,3646.82861328125,3664.277554014653,39816300.0,,,,
2022-01-18,3707.899658203125,3664.277309283088,112212200.0,,,,
2022-01-19,3707.899658203125,3716.6241279871324,88713900.0,,,,
2022-01-20,3681.726318359375,3751.522077949126,100014500.0,,,,
2022-01-21,3777.695556640625,3699.175325671189,75534800.0,,,,
2022-01-24,3751.522216796875,3716.624335710392,70404500.0,,,,
2022-01-25,3742.7978515625,3760.246792595425,116353600.0,,,,
2022-01-26,3830.042236328125,3821.3177665415005,127641400.0,,,,
2022-01-27,3725.3486328125,3838.7667410714284,98613900.0,,,,
2022-01-28,3716.624267578125,3716.624267578125,61686700.0,,,,
2022-01-31,3655.552978515625,3673.001918747203,88735900.0,,,,
2022-02-02,3638.104248046875,3638.104248046875,144006000.0,,,,
2022-02-03,3664.27734375,3664.27734375,58212400.0,,,,
2022-02-04,3690.45068359375,3716.624092697252,98728700.0,,,,
2022-02-07,3742.7978515625,3690.4510284637236,90285800.0,,,,
2022-02-08,3690.45068359375,3734.0730320995863,71210400.0,,,,
2022-02-09,3734.073486328125,3734.073486328125,95375000.0,,,,
2022-02-10,3891.113525390625,3838.7667066633967,233984700.0,,,,
2022-02-11,3882.388916015625,3926.011263386587,130081900.0,,,,
2022-02-14,3838.766845703125,3821.3179054953835,104903700.0,,,,
2022-02-15,3847.491455078125,3838.7669846584467,75305900.0,,,,
2022-02-16,3838.766845703125,3856.2157859108665,90121200.0,,,,
2022-02-17,3847.491455078125,3838.7669846584467,72970200.0,,,,
2022-02-18,3838.766845703125,3856.2157859108665,71111300.0,,,,
2022-02-21,3812.593505859375,3812.593505859375,58883000.0,,,,
2022-02-22,3751.522216796875,3768.971157340116,106985800.0,,,,
2022-02-23,3795.144287109375,3734.0729997306034,110562400.0,,,,
2022-02-24,3699.17529296875,3734.0731730910966,126158600.0,,,,
2022-02-25,3786.419921875,3699.1752232142853,208757000.0,,,,
2022-03-01,3795.144287109375,4048.15390625,206416900.0,,,,
2022-03-02,3742.7978515625,3838.7670272435894,152165300.0,,,,
2022-03-04,3838.766845703125,3873.6647261186076,155369100.0,,,,
2022-03-07,3934.736083984375,3838.766911204268,177360400.0,,,,
2022-03-08,4030.705078125,4013.256138392857,234086000.0,,,,
2022-03-09,3873.664794921875,3969.6339677690385,145145900.0,,,,
2022-03-10,3847.491455078125,3926.0116888552297,130830800.0,,,,
2022-03-11,4004.531982421875,3847.4915125229777,143446200.0,,,,
2022-03-14,3995.80712890625,4056.878416902634,166572700.0,,,,
2022-03-15,4030.705078125,4039.429547991071,231077800.0,,,,
2022-03-16,4039.429443359375,4065.60285227963,109961900.0,,,,
2022-03-17,3908.562744140625,3969.6340370178223,246300800.0,,,,
2022-03-18,3960.909423828125,3917.287073345436,210266100.0,,,,
2022-03-21,3969.634033203125,3969.634033203125,79691600.0,,,,
2022-03-22,3969.634033203125,3969.634033203125,98699900.0,,,,
2022-03-23,3969.634033203125,3969.634033203125,78299500.0,,,,
2022-03-24,3978.35791015625,3926.011095548931,89578400.0,,,,
2022-03-25,3943.460693359375,3934.736222798845,90053700.0,,,,
2022-03-28,4013.255859375,3934.7356360394024,184131000.0,,,,
2022-03-29,3978.35791015625,4013.2557865611293,77920800.0,,,,
2022-03-30,3995.80712890625,4030.7050077613267,118749100.0,,,,
2022-03-31,3995.80712890625,4030.7050077613267,108109700.0,,,,
2022-04-01,3995.80712890625,3969.6337197649427,86590300.0,,,,
2022-04-04,3960.909423828125,3978.3583640212,103480300.0,,,,
2022-04-05,3943.460693359375,3969.6341050409637,52172300.0,,,,
2022-04-06,3864.940185546875,3917.2870052156813,108368800.0,,,,
2022-04-07,3960.909423828125,3882.389192959285,143921800.0,,,,
2022-04-08,3995.80712890625,3995.80712890625,161974500.0,,,,
2022-04-11,4004.531982421875,4021.9809235217526,90521500.0,,,,
2022-04-12,4039.429443359375,4030.7049737192897,187948000.0,,,,
2022-04-13,4091.7763671875,4100.500837053572,196864200.0,,,,
2022-04-14,4083.052001953125,4100.500942132412,112735200.0,,,,
2022-04-18,4109.22509765625,4117.949567078026,120778200.0,,,,
2022-04-19,4083.052001953125,4135.398822490985,92268300.0,,,,
2022-04-20,4039.429443359375,4083.0517915598,88360900.0,,,,
